domain,url,bias_rating,factual_reporting_rating,category
fivethirtyeight,https://fivethirtyeight.com/,-8,HIGH,whitelist
florida times-union,http://jacksonville.com/,10,HIGH,whitelist
foreign affairs,https://www.foreignaffairs.com/,5,HIGH,whitelist
foreign policy in focus,http://fpif.org/,-10,HIGH,whitelist
foreign policy initiative,http://www.foreignpolicyi.org/,12,HIGH,whitelist
foreign policy research institute,http://www.fpri.org/,10,VERY HIGH,whitelist
foreign policy,http://foreignpolicy.com/,3,HIGH,whitelist
fort bend herald,http://www.fbherald.com/,13,HIGH,whitelist
fort worth star-telegram,http://www.star-telegram.com/,10,HIGH,whitelist
fort worth weekly,https://www.fwweekly.com/,-14,HIGH,whitelist
fortnightly review,http://fortnightlyreview.co.uk/,15,HIGH,whitelist
fortune magazine,http://fortune.com/,8,HIGH,whitelist
forward progressives,http://www.forwardprogressives.com/,-26,HIGH,whitelist
foundation for defense of democracies,http://www.defenddemocracy.org,21,HIGH,whitelist
foundation for economic education,https://fee.org/,12,HIGH,whitelist
france24,http://www.france24.com/en/,-13,HIGH,whitelist
fraser institute,https://www.fraserinstitute.org/,13,HIGH,whitelist
freakonomics radio,http://freakonomics.com/,-10,HIGH,whitelist
free press,http://freepress.org/,-27,HIGH,whitelist
free rein news,http://frnewsreport.com,-28,HIGH,whitelist
free wheel media,https://freewheelus.com,-12,HIGH,whitelist
freedom from religion foundation (ffrf),https://ffrf.org/,-1,HIGH,whitelist
freedom house,https://freedomhouse.org/,10,HIGH,whitelist
freedom news and journal,https://freedomnews.org.uk/,-27,HIGH,whitelist
fresno bee,http://www.fresnobee.com/,-11,HIGH,whitelist
fstv (freespeech.org),https://www.freespeech.org/,-19,HIGH,whitelist
full fact (uk),https://fullfact.org/,-5,VERY HIGH,whitelist
gallup,http://www.gallup.com/home.aspx,-2,VERY HIGH,whitelist
gay star news,https://www.gaystarnews.com/,-15,HIGH,whitelist
gbtimes,https://gbtimes.com,-2,HIGH,whitelist
gears of biz,http://gearsofbiz.com/,-4,HIGH,whitelist
geopolitics alert,http://geopoliticsalert.com,-13,HIGH,whitelist
gizmodo,http://gizmodo.com/,-20,HIGH,whitelist
glamour magazine,http://www.glamour.com/,-14,HIGH,whitelist
global citizen,https://www.globalcitizen.org/en/,-11,HIGH,whitelist
global integrity,http://www.globalintegrity.org/,1,HIGH,whitelist
global news,http://globalnews.ca/,-8,HIGH,whitelist
global post,http://www.pri.org/programs/globalpost,-10,HIGH,whitelist
global risk insights (gri),http://globalriskinsights.com,-7,HIGH,whitelist
global slavery index,https://www.globalslaveryindex.org,-1,VERY HIGH,whitelist
global times (china),http://www.globaltimes.cn/,-10,HIGH,whitelist
global voices,https://globalvoices.org/,-18,HIGH,whitelist
globe gazette (iowa),http://globegazette.com,-3,HIGH,whitelist
good magazine,https://www.good.is/,-21,HIGH,whitelist
goodnewsnetwork,http://www.goodnewsnetwork.org/,1,HIGH,whitelist
governing magazine,http://www.governing.com/,-8,HIGH,whitelist
government executive,http://www.govexec.com/,-4,HIGH,whitelist
govtrack,https://www.govtrack.us/,0,VERY HIGH,whitelist
gq magazine,http://www.gq.com/,-19,HIGH,whitelist
grand rapids press,http://www.mlive.com/grand-rapids/#/0,13,HIGH,whitelist
grasping reality with both hands: bradford delong,http://www.bradford-delong.com/,-21,HIGH,whitelist
greensboro news and record,http://www.greensboro.com/,-12,HIGH,whitelist
greentech media,https://www.greentechmedia.com/,-12,HIGH,whitelist
greenville gazette,http://www.greenvillegazette.com/,-26,HIGH,whitelist
grist,http://grist.org/,-14,HIGH,whitelist
group of thirty,http://group30.org/,7,HIGH,whitelist
guardian liberty voice,http://guardianlv.com/,-24,HIGH,whitelist
guardians of democracy,https://theguardiansofdemocracy.com/,-24,HIGH,whitelist
gulf news,http://gulfnews.com/,10,HIGH,whitelist
guns.com,http://www.guns.com,10,HIGH,whitelist
haaretz,http://www.haaretz.com/,-16,HIGH,whitelist
harper’s magazine,http://harpers.org/,-8,HIGH,whitelist
harvard business review,https://hbr.org,-3,HIGH,whitelist
harvard gazette,http://news.harvard.edu/gazette/,-4,HIGH,whitelist
harvard political review,http://harvardpolitics.com/,-4,HIGH,whitelist
hastings tribune,http://www.hastingstribune.com,-2,HIGH,whitelist
healthcare finance news,http://www.healthcarefinancenews.com/,-1,HIGH,whitelist
healthyway,https://www.healthyway.com,-11,HIGH,whitelist
heavy,http://heavy.com/,-13,HIGH,whitelist
helsinki times,http://www.helsinkitimes.fi/,-15,HIGH,whitelist
herald & review (illinois),https://herald-review.com,2,HIGH,whitelist
herald-sun,http://www.heraldsun.com.au/,11,HIGH,whitelist
heterodox academy,https://heterodoxacademy.org,8,HIGH,whitelist
high country news,https://www.hcn.org,-13,HIGH,whitelist
high point enterprise,http://www.hpenews.com/,10,HIGH,whitelist
highline,http://highline.huffingtonpost.com,-12,HIGH,whitelist
hindustan times,http://www.hindustantimes.com/,-8,HIGH,whitelist
history news network,http://historynewsnetwork.org/,-12,HIGH,whitelist
hoax slayer,http://www.hoax-slayer.com/,0,VERY HIGH,whitelist
hollywood reporter,http://www.hollywoodreporter.com/,-15,HIGH,whitelist
homeland security news wire,http://www.homelandsecuritynewswire.com,1,HIGH,whitelist
honest reporting,http://honestreporting.com/,10,HIGH,whitelist
honolulu star-advertiser,http://www.staradvertiser.com/,-11,HIGH,whitelist
hot air,http://hotair.com/,26,HIGH,whitelist
houston chronicle,https://www.houstonchronicle.com/,-14,HIGH,whitelist
hudson institute,http://www.hudson.org/,22,HIGH,whitelist
huffington post (huffpost),http://www.huffingtonpost.com/,-21,HIGH,whitelist
human rights campaign (hrc),https://www.hrc.org,-24,HIGH,whitelist
